ID,CUSTOMER_ID,ORDER_DATE,SHIP_DATE,SHIP_MODE
84,3066,2020-04-30,2020-05-01,Standard Shipping
85,2417,2020-04-30,2020-04-30,Express Shipping
86,4680,2020-04-30,2020-04-30,Express Shipping
87,3684,2020-05-01,2020-05-02,Standard Shipping
88,4092,2020-05-02,2020-05-02,Express Shipping
89,814,2020-05-02,2020-05-04,Standard Shipping
90,3062,2020-05-02,2020-05-03,Standard Shipping
91,2466,2020-05-03,2020-05-07,Free Shipping
92,2404,2020-05-03,2020-05-04,Standard Shipping
93,1937,2020-05-04,2020-05-08,Free Shipping
94,4094,2020-05-05,2020-05-09,Free Shipping
95,2234,2020-05-06,2020-05-11,Free Shipping
96,3858,2020-05-08,2020-05-09,Standard Shipping
97,3239,2020-05-09,2020-05-13,Free Shipping
98,2388,2020-05-09,2020-05-12,Free Shipping
99,5278,2020-05-09,2020-05-14,Free Shipping
100,4798,2020-05-09,2020-05-13,Free Shipping
101,2522,2020-05-10,2020-05-14,Free Shipping
102,851,2020-05-11,2020-05-12,Standard Shipping
103,426,2020-05-12,2020-05-12,Express Shipping
104,4807,2020-05-13,2020-05-16,Free Shipping
105,4262,2020-05-13,2020-05-16,Free Shipping
106,553,2020-05-14,2020-05-15,Standard Shipping
107,426,2020-05-16,2020-05-18,Standard Shipping
108,627,2020-05-16,2020-05-21,Free Shipping
109,4546,2020-05-17,2020-05-20,Free Shipping
110,1813,2020-05-17,2020-05-22,Free Shipping
111,62,2020-05-17,2020-05-17,Express Shipping
112,347,2020-05-18,2020-05-23,Free Shipping
113,627,2020-05-19,2020-05-24,Free Shipping
114,1022,2020-05-19,2020-05-20,Standard Shipping
115,4866,2020-05-22,2020-05-23,Standard Shipping
116,2991,2020-05-22,2020-05-24,Standard Shipping
117,1022,2020-05-22,2020-05-22,Express Shipping
118,4548,2020-05-24,2020-05-25,Standard Shipping
119,2241,2020-05-24,2020-05-25,Standard Shipping
120,2488,2020-05-25,2020-05-26,Standard Shipping
121,802,2020-05-25,2020-05-25,Express Shipping
122,1722,2020-05-26,2020-05-30,Free Shipping
123,219,2020-05-28,2020-05-30,Standard Shipping
124,2442,2020-05-28,2020-06-02,Free Shipping
125,403,2020-05-29,2020-06-01,Free Shipping
126,3066,2020-05-31,2020-06-02,Standard Shipping
127,4798,2020-06-01,2020-06-01,Express Shipping
128,1232,2020-06-01,2020-06-02,Standard Shipping
129,1540,2020-06-03,2020-06-04,Standard Shipping
130,2665,2020-06-04,2020-06-04,Express Shipping
131,1558,2020-06-04,2020-06-08,Free Shipping
132,5281,2020-06-05,2020-06-06,Standard Shipping
133,1510,2020-06-06,2020-06-07,Standard Shipping
134,3582,2020-06-06,2020-06-07,Standard Shipping
135,5465,2020-06-07,2020-06-07,Express Shipping
136,868,2020-06-07,2020-06-07,Express Shipping
137,5194,2020-06-08,2020-06-13,Free Shipping
138,2620,2020-06-08,2020-06-09,Standard Shipping
139,1716,2020-06-08,2020-06-12,Free Shipping
140,612,2020-06-08,2020-06-08,Express Shipping
141,759,2020-06-08,2020-06-09,Standard Shipping
142,1736,2020-06-08,2020-06-09,Standard Shipping
143,4848,2020-06-11,2020-06-13,Standard Shipping
144,1722,2020-06-11,2020-06-11,Express Shipping
145,5154,2020-06-11,2020-06-12,Standard Shipping
146,423,2020-06-12,2020-06-15,Free Shipping
147,3569,2020-06-12,2020-06-12,Express Shipping
148,1540,2020-06-12,2020-06-12,Express Shipping
149,4110,2020-06-13,2020-06-18,Free Shipping
150,1470,2020-06-13,2020-06-14,Standard Shipping
151,3408,2020-06-13,2020-06-15,Standard Shipping
152,3625,2020-06-14,2020-06-18,Free Shipping
153,982,2020-06-14,2020-06-19,Free Shipping
154,537,2020-06-15,2020-06-20,Free Shipping
155,2312,2020-06-15,2020-06-17,Standard Shipping
156,4063,2020-06-16,2020-06-19,Free Shipping
157,5502,2020-06-16,2020-06-18,Standard Shipping
158,2305,2020-06-17,2020-06-21,Free Shipping
159,802,2020-06-17,2020-06-20,Free Shipping
160,4607,2020-06-17,2020-06-22,Free Shipping
161,4277,2020-06-17,2020-06-22,Free Shipping
162,2866,2020-06-17,2020-06-18,Standard Shipping
163,403,2020-06-18,2020-06-23,Free Shipping
164,1020,2020-06-18,2020-06-18,Express Shipping
165,3002,2020-06-18,2020-06-21,Free Shipping
166,918,2020-06-18,2020-06-20,Standard Shipping
167,2926,2020-06-19,2020-06-23,Free Shipping
168,272,2020-06-19,2020-06-22,Free Shipping
169,759,2020-06-19,2020-06-21,Standard Shipping
170,5591,2020-06-20,2020-06-21,Standard Shipping
171,1562,2020-06-20,2020-06-21,Standard Shipping
172,4727,2020-06-21,2020-06-26,Free Shipping
173,2932,2020-06-22,2020-06-26,Free Shipping
174,2028,2020-06-22,2020-06-22,Express Shipping
175,1793,2020-06-23,2020-06-27,Free Shipping
176,2592,2020-06-23,2020-06-28,Free Shipping
177,4900,2020-06-24,2020-06-28,Free Shipping
178,1979,2020-06-24,2020-06-24,Express Shipping
179,2517,2020-06-24,2020-06-25,Standard Shipping
180,1907,2020-06-25,2020-06-28,Free Shipping
181,3097,2020-06-27,2020-06-30,Free Shipping
182,772,2020-06-28,2020-07-03,Free Shipping
183,3131,2020-06-28,2020-06-29,Standard Shipping
184,1978,2020-06-29,2020-07-04,Free Shipping
185,1937,2020-06-29,2020-07-02,Free Shipping
186,4798,2020-06-30,2020-07-03,Free Shipping
187,627,2020-06-30,2020-07-03,Free Shipping
188,4802,2020-07-01,2020-07-03,Standard Shipping
189,3415,2020-07-01,2020-07-03,Standard Shipping
190,2881,2020-07-03,2020-07-05,Standard Shipping
191,868,2020-07-03,2020-07-08,Free Shipping
193,5466,2020-07-05,2020-07-10,Free Shipping
194,1907,2020-07-05,2020-07-08,Free Shipping
195,1907,2020-07-05,2020-07-05,Express Shipping
196,4262,2020-07-06,2020-07-10,Free Shipping
197,5552,2020-07-06,2020-07-08,Standard Shipping
198,3735,2020-07-06,2020-07-09,Free Shipping
199,1799,2020-07-06,2020-07-10,Free Shipping
200,2171,2020-07-07,2020-07-12,Free Shipping
201,426,2020-07-09,2020-07-13,Free Shipping
202,568,2020-07-10,2020-07-10,Express Shipping
203,627,2020-07-10,2020-07-10,Express Shipping
204,3903,2020-07-11,2020-07-11,Express Shipping
205,4477,2020-07-11,2020-07-16,Free Shipping
206,5420,2020-07-12,2020-07-14,Standard Shipping
207,802,2020-07-13,2020-07-16,Free Shipping
208,5091,2020-07-13,2020-07-14,Standard Shipping
209,2384,2020-07-14,2020-07-18,Free Shipping
210,1314,2020-07-14,2020-07-16,Standard Shipping
211,2241,2020-07-15,2020-07-16,Standard Shipping
212,990,2020-07-15,2020-07-15,Express Shipping
213,4954,2020-07-16,2020-07-20,Free Shipping
214,1540,2020-07-16,2020-07-21,Free Shipping
215,4166,2020-07-16,2020-07-16,Express Shipping
216,1855,2020-07-16,2020-07-16,Express Shipping
217,1736,2020-07-16,2020-07-17,Standard Shipping
218,537,2020-07-17,2020-07-17,Express Shipping
219,4152,2020-07-18,2020-07-18,Express Shipping
220,5388,2020-07-19,2020-07-19,Express Shipping
221,4316,2020-07-19,2020-07-24,Free Shipping
222,4329,2020-07-19,2020-07-22,Free Shipping
223,864,2020-07-19,2020-07-21,Standard Shipping
224,455,2020-07-22,2020-07-27,Free Shipping
225,4802,2020-07-23,2020-07-24,Standard Shipping
226,1558,2020-07-23,2020-07-24,Standard Shipping
227,4385,2020-07-23,2020-07-25,Standard Shipping
228,424,2020-07-24,2020-07-26,Standard Shipping
229,2171,2020-07-24,2020-07-25,Standard Shipping
230,3437,2020-07-24,2020-07-25,Standard Shipping
231,2286,2020-07-24,2020-07-29,Free Shipping
232,4597,2020-07-25,2020-07-26,Standard Shipping
233,4110,2020-07-25,2020-07-25,Express Shipping
234,4848,2020-07-26,2020-07-27,Standard Shipping
235,1300,2020-07-26,2020-07-27,Standard Shipping
236,2987,2020-07-27,2020-08-01,Free Shipping
237,4422,2020-07-27,2020-07-29,Standard Shipping
238,5043,2020-07-27,2020-07-27,Express Shipping
239,5465,2020-07-28,2020-08-02,Free Shipping
240,411,2020-07-29,2020-07-29,Express Shipping
241,716,2020-07-29,2020-07-29,Express Shipping
242,2080,2020-07-30,2020-08-02,Free Shipping
243,1219,2020-07-30,2020-07-31,Standard Shipping
244,390,2020-07-31,2020-08-04,Free Shipping
245,1246,2020-07-31,2020-08-04,Free Shipping
246,778,2020-07-31,2020-08-04,Free Shipping
247,424,2020-08-01,2020-08-03,Standard Shipping
248,135,2020-08-01,2020-08-05,Free Shipping
249,1847,2020-08-02,2020-08-04,Standard Shipping
250,851,2020-08-02,2020-08-05,Free Shipping
251,3252,2020-08-02,2020-08-03,Standard Shipping
252,4900,2020-08-02,2020-08-05,Free Shipping
253,917,2020-08-02,2020-08-03,Standard Shipping
254,390,2020-08-02,2020-08-05,Free Shipping
255,802,2020-08-03,2020-08-08,Free Shipping
256,916,2020-08-03,2020-08-07,Free Shipping
257,755,2020-08-03,2020-08-07,Free Shipping
258,600,2020-08-03,2020-08-05,Standard Shipping
259,4023,2020-08-04,2020-08-09,Free Shipping
260,2059,2020-08-04,2020-08-04,Express Shipping
261,889,2020-08-04,2020-08-06,Standard Shipping
262,4607,2020-08-05,2020-08-08,Free Shipping
263,391,2020-08-05,2020-08-06,Standard Shipping
264,4152,2020-08-06,2020-08-07,Standard Shipping
265,1051,2020-08-06,2020-08-10,Free Shipping
266,2334,2020-08-06,2020-08-10,Free Shipping
267,1452,2020-08-07,2020-08-12,Free Shipping
268,3735,2020-08-07,2020-08-07,Express Shipping
269,5420,2020-08-07,2020-08-07,Express Shipping
270,866,2020-08-08,2020-08-13,Free Shipping
271,2761,2020-08-09,2020-08-11,Standard Shipping
272,1423,2020-08-09,2020-08-14,Free Shipping
273,5388,2020-08-10,2020-08-13,Free Shipping
274,455,2020-08-10,2020-08-15,Free Shipping
276,426,2020-08-11,2020-08-14,Free Shipping
277,4149,2020-08-11,2020-08-15,Free Shipping
278,5595,2020-08-12,2020-08-15,Free Shipping
279,3462,2020-08-12,2020-08-16,Free Shipping
280,704,2020-08-12,2020-08-12,Express Shipping
281,2216,2020-08-12,2020-08-14,Standard Shipping
282,1904,2020-08-12,2020-08-14,Standard Shipping
283,1933,2020-08-13,2020-08-18,Free Shipping
284,324,2020-08-13,2020-08-15,Standard Shipping
285,5493,2020-08-13,2020-08-14,Standard Shipping
286,1716,2020-08-13,2020-08-13,Express Shipping
287,4274,2020-08-14,2020-08-18,Free Shipping
288,2881,2020-08-15,2020-08-20,Free Shipping
289,4685,2020-08-15,2020-08-18,Free Shipping
290,4849,2020-08-16,2020-08-19,Free Shipping
291,2288,2020-08-17,2020-08-20,Free Shipping
292,887,2020-08-17,2020-08-17,Express Shipping
293,4727,2020-08-17,2020-08-19,Standard Shipping
294,3697,2020-08-18,2020-08-20,Standard Shipping
295,1022,2020-08-18,2020-08-23,Free Shipping
296,4166,2020-08-19,2020-08-19,Express Shipping
297,1057,2020-08-20,2020-08-20,Express Shipping
298,5444,2020-08-21,2020-08-23,Standard Shipping
299,3062,2020-08-21,2020-08-24,Free Shipping
300,3437,2020-08-22,2020-08-22,Express Shipping
301,2739,2020-08-22,2020-08-22,Express Shipping
302,254,2020-08-23,2020-08-28,Free Shipping
303,4546,2020-08-23,2020-08-25,Standard Shipping
304,1052,2020-08-23,2020-08-28,Free Shipping
305,2382,2020-08-24,2020-08-25,Standard Shipping
306,3744,2020-08-24,2020-08-26,Standard Shipping
307,4905,2020-08-25,2020-08-28,Free Shipping
308,4954,2020-08-25,2020-08-26,Standard Shipping
309,4989,2020-08-26,2020-08-29,Free Shipping
310,526,2020-08-26,2020-08-28,Standard Shipping
311,5202,2020-08-26,2020-08-27,Standard Shipping
312,2467,2020-08-26,2020-08-27,Standard Shipping
313,3496,2020-08-27,2020-08-28,Standard Shipping
314,5638,2020-08-27,2020-08-31,Free Shipping
315,1189,2020-08-28,2020-09-01,Free Shipping
316,918,2020-08-28,2020-08-29,Standard Shipping
317,1493,2020-08-29,2020-08-30,Standard Shipping
318,3538,2020-08-30,2020-08-30,Express Shipping
319,4688,2020-08-30,2020-09-04,Free Shipping
320,4477,2020-08-30,2020-09-01,Standard Shipping
321,4688,2020-08-30,2020-09-03,Free Shipping
322,2926,2020-08-30,2020-09-03,Free Shipping
323,5611,2020-08-31,2020-09-05,Free Shipping
324,4769,2020-08-31,2020-09-04,Free Shipping
325,2237,2020-09-01,2020-09-04,Free Shipping
326,4205,2020-09-01,2020-09-06,Free Shipping
327,5278,2020-09-02,2020-09-06,Free Shipping
328,4226,2020-09-02,2020-09-03,Standard Shipping
329,553,2020-09-02,2020-09-02,Express Shipping
330,568,2020-09-02,2020-09-03,Standard Shipping
331,2334,2020-09-03,2020-09-07,Free Shipping
332,1112,2020-09-03,2020-09-06,Free Shipping
333,1162,2020-09-04,2020-09-07,Free Shipping
334,3574,2020-09-04,2020-09-07,Free Shipping
335,2621,2020-09-04,2020-09-07,Free Shipping
336,1793,2020-09-04,2020-09-06,Standard Shipping
337,5552,2020-09-05,2020-09-06,Standard Shipping
338,1893,2020-09-05,2020-09-05,Express Shipping
339,2442,2020-09-05,2020-09-07,Standard Shipping
340,723,2020-09-05,2020-09-10,Free Shipping
341,3155,2020-09-06,2020-09-10,Free Shipping
342,211,2020-09-07,2020-09-07,Express Shipping
343,4727,2020-09-07,2020-09-07,Express Shipping
344,1813,2020-09-07,2020-09-07,Express Shipping
345,4595,2020-09-07,2020-09-12,Free Shipping
346,3720,2020-09-08,2020-09-08,Express Shipping
347,5176,2020-09-08,2020-09-09,Standard Shipping
348,3625,2020-09-08,2020-09-09,Standard Shipping
349,1558,2020-09-08,2020-09-09,Standard Shipping
350,450,2020-09-09,2020-09-12,Free Shipping
351,135,2020-09-09,2020-09-14,Free Shipping
352,3177,2020-09-10,2020-09-12,Standard Shipping
353,1428,2020-09-10,2020-09-14,Free Shipping
354,2442,2020-09-10,2020-09-13,Free Shipping
355,3043,2020-09-10,2020-09-14,Free Shipping
356,3252,2020-09-10,2020-09-10,Express Shipping
357,2627,2020-09-11,2020-09-15,Free Shipping
358,4807,2020-09-11,2020-09-12,Standard Shipping
359,1753,2020-09-11,2020-09-13,Standard Shipping
360,61,2020-09-11,2020-09-13,Standard Shipping
361,2819,2020-09-11,2020-09-14,Free Shipping
362,759,2020-09-11,2020-09-11,Express Shipping
363,3556,2020-09-12,2020-09-12,Express Shipping
364,608,2020-09-12,2020-09-15,Free Shipping
365,2428,2020-09-12,2020-09-14,Standard Shipping
366,1799,2020-09-12,2020-09-14,Standard Shipping
367,3948,2020-09-12,2020-09-16,Free Shipping
368,4654,2020-09-12,2020-09-12,Express Shipping
369,3984,2020-09-12,2020-09-16,Free Shipping
370,5278,2020-09-13,2020-09-16,Free Shipping
371,266,2020-09-13,2020-09-14,Standard Shipping
372,884,2020-09-13,2020-09-17,Free Shipping
373,2932,2020-09-14,2020-09-19,Free Shipping
374,2133,2020-09-14,2020-09-19,Free Shipping
375,3948,2020-09-14,2020-09-18,Free Shipping
376,3984,2020-09-14,2020-09-19,Free Shipping
377,3062,2020-09-14,2020-09-19,Free Shipping
378,1226,2020-09-14,2020-09-16,Standard Shipping
379,2370,2020-09-14,2020-09-19,Free Shipping
380,916,2020-09-15,2020-09-15,Express Shipping
381,3110,2020-09-15,2020-09-20,Free Shipping
382,3002,2020-09-15,2020-09-20,Free Shipping
383,4656,2020-09-16,2020-09-17,Standard Shipping
384,1462,2020-09-16,2020-09-18,Standard Shipping
385,3922,2020-09-17,2020-09-17,Express Shipping
386,3988,2020-09-18,2020-09-20,Standard Shipping
387,4546,2020-09-18,2020-09-18,Express Shipping
388,561,2020-09-19,2020-09-21,Standard Shipping
389,2593,2020-09-19,2020-09-22,Free Shipping
390,3496,2020-09-19,2020-09-20,Standard Shipping
391,106,2020-09-19,2020-09-22,Free Shipping
392,511,2020-09-19,2020-09-21,Standard Shipping
393,4848,2020-09-19,2020-09-21,Standard Shipping
394,2592,2020-09-20,2020-09-20,Express Shipping
395,3979,2020-09-20,2020-09-23,Free Shipping
396,2440,2020-09-20,2020-09-25,Free Shipping
397,3569,2020-09-21,2020-09-21,Express Shipping
398,4349,2020-09-21,2020-09-23,Standard Shipping
399,3927,2020-09-21,2020-09-26,Free Shipping
400,3283,2020-09-22,2020-09-25,Free Shipping
401,4023,2020-09-22,2020-09-23,Standard Shipping
402,1120,2020-09-22,2020-09-27,Free Shipping
403,755,2020-09-23,2020-09-25,Standard Shipping
404,2080,2020-09-23,2020-09-26,Free Shipping
405,5552,2020-09-24,2020-09-24,Express Shipping
406,1452,2020-09-24,2020-09-24,Express Shipping
407,4631,2020-09-25,2020-09-25,Express Shipping
408,218,2020-09-25,2020-09-27,Standard Shipping
409,1907,2020-09-25,2020-09-29,Free Shipping
410,3648,2020-09-27,2020-09-28,Standard Shipping
411,925,2020-09-27,2020-09-30,Free Shipping
412,62,2020-09-27,2020-09-28,Standard Shipping
413,1922,2020-09-28,2020-09-28,Express Shipping
414,4970,2020-09-28,2020-10-02,Free Shipping
415,616,2020-09-28,2020-10-02,Free Shipping
416,4597,2020-09-29,2020-10-03,Free Shipping
417,1354,2020-09-29,2020-09-29,Express Shipping
418,3062,2020-09-29,2020-10-03,Free Shipping
419,5399,2020-09-29,2020-09-29,Express Shipping
420,851,2020-09-29,2020-10-04,Free Shipping
421,2662,2020-09-30,2020-09-30,Express Shipping
422,4502,2020-09-30,2020-10-03,Free Shipping
423,2440,2020-09-30,2020-10-03,Free Shipping
424,5638,2020-09-30,2020-09-30,Express Shipping
425,4047,2020-09-30,2020-10-03,Free Shipping
426,2417,2020-09-30,2020-10-02,Standard Shipping
427,2280,2020-10-01,2020-10-01,Express Shipping
428,4327,2020-10-01,2020-10-04,Free Shipping
429,866,2020-10-01,2020-10-05,Free Shipping
430,2662,2020-10-02,2020-10-07,Free Shipping
431,1020,2020-10-03,2020-10-06,Free Shipping
432,1470,2020-10-04,2020-10-08,Free Shipping
433,4166,2020-10-04,2020-10-04,Express Shipping
434,4347,2020-10-04,2020-10-06,Standard Shipping
435,2334,2020-10-05,2020-10-10,Free Shipping
436,1801,2020-10-05,2020-10-05,Express Shipping
437,3249,2020-10-05,2020-10-08,Free Shipping
438,1020,2020-10-06,2020-10-09,Free Shipping
439,3962,2020-10-06,2020-10-11,Free Shipping
440,772,2020-10-06,2020-10-08,Standard Shipping
441,880,2020-10-07,2020-10-09,Standard Shipping
442,4864,2020-10-08,2020-10-11,Free Shipping
443,4092,2020-10-08,2020-10-09,Standard Shipping
444,2216,2020-10-09,2020-10-09,Express Shipping
445,561,2020-10-09,2020-10-10,Standard Shipping
446,1864,2020-10-09,2020-10-12,Free Shipping
447,4771,2020-10-10,2020-10-12,Standard Shipping
448,1857,2020-10-10,2020-10-11,Standard Shipping
449,1112,2020-10-10,2020-10-13,Free Shipping
450,2881,2020-10-10,2020-10-13,Free Shipping
451,1314,2020-10-10,2020-10-11,Standard Shipping
452,3393,2020-10-11,2020-10-13,Standard Shipping
453,1727,2020-10-11,2020-10-13,Standard Shipping
454,4247,2020-10-11,2020-10-15,Free Shipping
455,2496,2020-10-11,2020-10-11,Express Shipping
456,1300,2020-10-11,2020-10-13,Standard Shipping
457,3372,2020-10-11,2020-10-16,Free Shipping
458,3715,2020-10-12,2020-10-14,Standard Shipping
459,186,2020-10-12,2020-10-14,Standard Shipping
460,5419,2020-10-12,2020-10-14,Standard Shipping
461,1411,2020-10-12,2020-10-17,Free Shipping
462,5300,2020-10-13,2020-10-17,Free Shipping
463,5031,2020-10-13,2020-10-18,Free Shipping
464,1807,2020-10-14,2020-10-18,Free Shipping
465,3903,2020-10-14,2020-10-17,Free Shipping
466,4349,2020-10-14,2020-10-17,Free Shipping
467,3061,2020-10-14,2020-10-14,Express Shipping
468,3131,2020-10-15,2020-10-15,Express Shipping
469,4408,2020-10-16,2020-10-21,Free Shipping
470,3155,2020-10-16,2020-10-21,Free Shipping
471,3773,2020-10-16,2020-10-20,Free Shipping
472,3695,2020-10-16,2020-10-21,Free Shipping
473,485,2020-10-16,2020-10-21,Free Shipping
474,3933,2020-10-17,2020-10-17,Express Shipping
475,1431,2020-10-17,2020-10-19,Standard Shipping
476,5598,2020-10-17,2020-10-17,Express Shipping
477,5598,2020-10-17,2020-10-18,Standard Shipping
478,3720,2020-10-17,2020-10-21,Free Shipping
479,4970,2020-10-17,2020-10-22,Free Shipping
480,1077,2020-10-17,2020-10-17,Express Shipping
481,3272,2020-10-18,2020-10-19,Standard Shipping
482,439,2020-10-18,2020-10-20,Standard Shipping
483,455,2020-10-18,2020-10-23,Free Shipping
484,2882,2020-10-18,2020-10-23,Free Shipping
485,3319,2020-10-18,2020-10-23,Free Shipping
486,1922,2020-10-19,2020-10-19,Express Shipping
487,4499,2020-10-20,2020-10-25,Free Shipping
488,746,2020-10-20,2020-10-21,Standard Shipping
489,4481,2020-10-20,2020-10-20,Express Shipping
490,588,2020-10-20,2020-10-25,Free Shipping
491,4481,2020-10-20,2020-10-25,Free Shipping
492,4761,2020-10-20,2020-10-24,Free Shipping
494,3820,2020-10-21,2020-10-24,Free Shipping
495,2135,2020-10-21,2020-10-25,Free Shipping
496,2537,2020-10-21,2020-10-26,Free Shipping
497,359,2020-10-22,2020-10-23,Standard Shipping
498,3582,2020-10-23,2020-10-27,Free Shipping
499,3390,2020-10-23,2020-10-24,Standard Shipping
500,5059,2020-10-23,2020-10-27,Free Shipping
501,1907,2020-10-23,2020-10-27,Free Shipping
502,5031,2020-10-24,2020-10-25,Standard Shipping
503,423,2020-10-25,2020-10-27,Standard Shipping
504,723,2020-10-25,2020-10-26,Standard Shipping
505,3249,2020-10-25,2020-10-30,Free Shipping
506,4387,2020-10-25,2020-10-25,Express Shipping
507,1279,2020-10-25,2020-10-30,Free Shipping
508,3538,2020-10-25,2020-10-29,Free Shipping
509,763,2020-10-26,2020-10-29,Free Shipping
510,4597,2020-10-26,2020-10-26,Express Shipping
511,4930,2020-10-27,2020-11-01,Free Shipping
512,2866,2020-10-27,2020-10-31,Free Shipping
513,2440,2020-10-27,2020-11-01,Free Shipping
514,3390,2020-10-27,2020-10-29,Standard Shipping
515,1454,2020-10-28,2020-10-31,Free Shipping
516,455,2020-10-28,2020-10-29,Standard Shipping
517,4807,2020-10-29,2020-11-02,Free Shipping
518,4000,2020-10-30,2020-11-02,Free Shipping
519,1324,2020-10-30,2020-11-04,Free Shipping
520,4764,2020-10-30,2020-11-02,Free Shipping
521,4273,2020-10-30,2020-11-01,Standard Shipping
522,3733,2020-10-31,2020-10-31,Express Shipping
523,851,2020-10-31,2020-11-02,Standard Shipping
524,4954,2020-10-31,2020-11-03,Free Shipping
525,4554,2020-10-31,2020-11-01,Standard Shipping
526,583,2020-11-01,2020-11-03,Standard Shipping
527,1314,2020-11-01,2020-11-03,Standard Shipping
528,3389,2020-11-01,2020-11-05,Free Shipping
529,2522,2020-11-01,2020-11-03,Standard Shipping
530,1801,2020-11-02,2020-11-03,Standard Shipping
531,3443,2020-11-02,2020-11-02,Express Shipping
532,3136,2020-11-03,2020-11-06,Free Shipping
533,2780,2020-11-03,2020-11-04,Standard Shipping
534,2383,2020-11-04,2020-11-06,Standard Shipping
535,4000,2020-11-05,2020-11-06,Standard Shipping
536,2924,2020-11-05,2020-11-10,Free Shipping
